Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-08-02,4104.21,4140.47,4079.81,4091.19,2265723779
2022-08-03,4107.96,4167.66,4107.96,4155.17,2432226005
2022-08-04,4154.85,4161.29,4135.42,4151.94,2259557509
2022-08-05,4115.87,4151.58,4107.31,4145.19,2024887684
2022-08-08,4155.93,4186.62,4128.97,4140.06,2118308917
2022-08-09,4133.11,4137.3,4112.09,4122.47,2045740859
2022-08-10,4181.02,4211.03,4177.26,4210.24,2239407036
2022-08-11,4227.4,4257.91,4201.41,4207.27,2080941232
2022-08-12,4225.02,4280.47,4219.78,4280.15,1837439508
2022-08-15,4269.37,4301.79,4256.9,4297.14,1775707808
2022-08-16,4290.46,4325.28,4277.77,4305.2,1909934189
2022-08-17,4280.4,4302.18,4253.08,4274.04,1861058607
2022-08-18,4273.13,4292.53,4261.98,4283.74,1747174197
2022-08-19,4266.31,4266.31,4218.7,4228.48,2044278522
2022-08-22,4195.08,4195.08,4129.86,4137.99,1980081528
2022-08-23,4133.09,4159.77,4124.03,4128.73,1788639687
2022-08-24,4126.55,4156.56,4119.97,4140.77,1736786606
2022-08-25,4153.26,4200.54,4147.59,4199.12,1845810168
2022-08-26,4198.74,4203.04,4057.66,4057.66,2112956660
2022-08-29,4034.58,4062.99,4017.42,4030.61,1890889510
2022-08-30,4041.25,4044.98,3965.21,3986.16,2081001229
2022-08-31,4000.67,4015.37,3954.53,3955,2551854859.5204
2022-09-01,3936.73,3970.23,3903.65,3966.85,2303306757.0706
2022-09-02,3994.66,4018.43,3906.21,3924.26,2080325882
2022-09-06,3930.89,3942.55,3886.75,3908.19,2245181905
2022-09-07,3909.43,3987.89,3906.03,3979.87,2207203153
2022-09-08,3959.94,4010.5,3944.81,4006.18,2287421470
2022-09-09,4022.94,4076.81,4022.94,4067.36,2096049232
2022-09-12,4083.67,4119.28,4083.67,4110.41,2144187292
2022-09-13,4037.12,4037.12,3921.28,3932.69,2641640040
2022-09-14,3940.73,3961.94,3912.18,3946.01,2482078227
2022-09-15,3932.41,3959.14,3888.28,3901.35,2510590552
2022-09-16,3880.95,3880.95,3837.08,3873.33,4360545933
2022-09-19,3849.91,3900.45,3838.5,3899.89,2115778064
2022-09-20,3875.23,3876.01,3827.54,3855.93,2334817543
2022-09-21,3871.4,3907.07,3789.49,3789.93,2485994709
2022-09-22,3782.36,3790.9,3749.45,3757.99,2445941297
2022-09-23,3727.14,3727.14,3647.47,3693.23,2807610763
2022-09-26,3682.72,3715.67,3644.76,3655.04,2631140662
2022-09-27,3686.44,3717.53,3623.29,3647.29,2543929467
2022-09-28,3651.94,3736.74,3640.61,3719.04,2634239753
2022-09-29,3687.01,3687.01,3610.4,3640.47,2604839600
2022-09-30,3633.48,3671.44,3584.13,3585.62,3142945550
2022-10-03,3609.78,3698.35,3604.93,3678.43,2734042230
2022-10-04,3726.46,3791.92,3726.46,3790.93,2850684686
2022-10-05,3753.25,3806.91,3722.66,3783.28,2406097925
2022-10-06,3771.97,3797.93,3739.22,3744.52,2451917428
2022-10-07,3706.74,3706.74,3620.73,3639.66,2670998010
2022-10-10,3647.51,3652.17,3588.1,3612.39,2379975370
2022-10-11,3595.86,3640.66,3568.45,3588.84,2730730478
2022-10-12,3590.83,3608.34,3573.86,3577.03,2370590416
2022-10-13,3520.37,3685.41,3491.58,3669.91,3197128807
2022-10-14,3690.41,3712,3579.68,3583.07,2661937030
2022-10-17,3638.65,3689.73,3638.65,3677.95,2577719660
2022-10-18,3746.26,3762.79,3686.53,3719.98,2659756947
2022-10-19,3703.11,3728.58,3666.51,3695.16,2400354825
2022-10-20,3689.05,3736,3656.44,3665.78,2641513546
2022-10-21,3657.1,3757.89,3647.42,3752.75,3007722663
2022-10-24,3762.01,3810.74,3741.65,3797.34,2587423726
2022-10-25,3799.44,3862.85,3799.44,3859.11,2722411722
2022-10-26,3825.97,3886.15,3824.07,3830.6,2946134171
2022-10-27,3834.69,3859.95,3803.79,3807.3,3088618697
2022-10-28,3808.26,3905.42,3808.26,3901.06,2899801373
2022-10-31,3881.85,3893.73,3863.18,3871.98,2800978345
2022-11-01,3901.79,3911.79,3843.8,3856.1,2616622589
2022-11-02,3852.9,3894.44,3758.68,3759.69,3112059344
2022-11-03,3733.25,3750.59,3698.15,3719.89,2853782123
2022-11-04,3766.98,3796.34,3708.84,3770.55,3019479207
2022-11-07,3780.71,3813.95,3764.7,3806.8,2492839587
2022-11-08,3817.02,3859.4,3786.28,3828.11,2585450787
2022-11-09,3810.94,3818.2,3744.22,3748.57,2535204840
2022-11-10,3859.89,3958.33,3859.89,3956.37,3342969435
2022-11-11,3963.72,4001.48,3944.82,3992.93,3015063689
2022-11-14,3977.97,4008.97,3956.4,3957.25,2607905944
2022-11-15,4006.41,4028.84,3953.17,3991.73,2796620692
2022-11-16,3976.82,3983.09,3954.34,3958.79,2405874725
2022-11-17,3919.26,3954.33,3906.54,3946.56,2196018180
2022-11-18,3966.39,3979.89,3935.98,3965.34,2233622593
2022-11-21,3956.23,3962,3933.34,3949.94,2114062649
2022-11-22,3965.51,4005.88,3956.88,4003.58,1997281888
2022-11-23,4000.3,4033.78,3998.66,4027.26,1753489062
2022-11-25,4023.34,4034.02,4020.76,4026.12,901913979
2022-11-28,4005.36,4012.27,3955.77,3963.94,2094426126
2022-11-29,3964.19,3976.77,3937.65,3957.63,1912517741
2022-11-30,3957.18,4080.11,3938.58,4080.11,3721831565
2022-12-01,4087.14,4100.51,4050.87,4076.57,2316143021
2022-12-02,4040.17,4080.48,4026.63,4071.7,2073993715
2022-12-05,4052.02,4052.45,3984.49,3998.84,2283039476
2022-12-06,3996.63,4001.51,3918.39,3941.26,2363290230
2022-12-07,3933.28,3957.57,3922.68,3933.92,2261360347
2022-12-08,3947.79,3974.19,3935.83,3963.51,2156493372
2022-12-09,3954.17,3977.02,3933.04,3934.38,2120259740
2022-12-12,3939.29,3990.71,3935.3,3990.56,2283766184
2022-12-13,4069.38,4100.96,3993.03,4019.65,3099177403
2022-12-14,4015.54,4053.76,3965.65,3995.32,2606576359
2022-12-15,3958.37,3958.37,3879.45,3895.75,2677417769
2022-12-16,3890.91,3890.91,3827.91,3852.36,5019888337
