Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-06-08,4147.12,4160.14,4107.2,4115.77,1875032906
2022-06-09,4101.65,4119.1,4017.17,4017.82,2040178588
2022-06-10,3974.39,3974.39,3900.16,3900.86,2475868478
2022-06-13,3838.15,3838.15,3734.3,3749.63,3067433318
2022-06-14,3763.52,3778.18,3705.68,3735.48,2639249798
2022-06-15,3764.05,3837.56,3722.3,3789.99,2761970436
2022-06-16,3728.18,3728.18,3639.77,3666.77,3079954729
2022-06-17,3665.9,3707.71,3636.87,3674.84,4667721829
2022-06-21,3715.31,3779.65,3715.31,3764.79,2677535781
2022-06-22,3733.89,3801.79,3717.69,3759.89,2479596731
2022-06-23,3774.71,3802.58,3743.52,3795.73,2511277193
2022-06-24,3821.75,3913.65,3821.75,3911.74,3476679518
2022-06-27,3920.76,3927.72,3889.66,3900.11,2125082913
2022-06-28,3913,3945.86,3820.14,3821.55,2247996957
2022-06-29,3825.09,3836.5,3799.02,3818.83,2113449461
2022-06-30,3785.99,3818.99,3738.67,3785.38,2685491463
2022-07-01,3781,3829.82,3752.1,3825.33,2192501778
2022-07-05,3792.61,3832.19,3742.06,3831.39,2506625598
2022-07-06,3831.98,3870.91,3809.37,3845.08,2201176371
2022-07-07,3858.85,3910.63,3858.85,3902.62,2085966400
2022-07-08,3888.26,3918.5,3869.34,3899.38,1777058171
2022-07-11,3880.94,3880.94,3847.22,3854.43,1824655815
2022-07-12,3851.95,3873.41,3802.36,3818.8,2131307791
2022-07-13,3779.67,3829.44,3759.07,3801.78,2056282440
2022-07-14,3763.99,3796.41,3721.56,3790.38,2178874683
